filename,instruction,input,output
IMG_4719.jpeg,Rephrase the question,How many shelves are there in the cabinet?,"Do you see any shelves in the cabinet? If yes, then how many shelves are there?"
IMG_4719.jpeg,Rephrase the question,What is the color of the cabinet?,What color is the cabinet?
IMG_4719.jpeg,Rephrase the question,What is on the top shelf?,What is on the top shelf of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is on the second shelf from the top?,What is on the second shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is on the third shelf from the top?,What is on the third shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is on the bottom shelf?,What is on the bottom shelf of the cabinet?
IMG_4719.jpeg,Rephrase the question,How many plates are there on the top shelf?,How many plates are on the top shelf of the cabinet?
IMG_4719.jpeg,Rephrase the question,How many bowls are there on the top shelf?,How many bowls are on the top shelf of the cabinet?
IMG_4719.jpeg,Rephrase the question,How many glasses are there on the top shelf?,How many glasses are on the top shelf of the cabinet?
IMG_4719.jpeg,Rephrase the question,How many pitchers are there on the top shelf?,How many pitchers are on the top shelf of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the color of the plates on the second shelf from the top?,What color are the plates on the second shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the design of the plates on the second shelf from the top?,What design are the plates on the second shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,How many cups are there on the second shelf from the top?,How many cups are on the second shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the color of the cups on the second shelf from the top?,What color are the cups on the second shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the design of the cups on the second shelf from the top?,What design are the cups on the second shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the material of the cups on the second shelf from the top?,What material are the cups on the second shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,How many saucers are there on the second shelf from the top?,How many saucers are on the second shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the color of the saucers on the second shelf from the top?,What color are the saucers on the second shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the design of the saucers on the second shelf from the top?,What design are the saucers on the second shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the material of the saucers on the second shelf from the top?,What material are the saucers on the second shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,How many glasses are there on the third shelf from the top?,How many glasses are on the third shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the color of the glasses on the third shelf from the top?,What color are the glasses on the third shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the design of the glasses on the third shelf from the top?,What design are the glasses on the third shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the material of the glasses on the third shelf from the top?,What material are the glasses on the third shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,How many bowls are there on the third shelf from the top?,How many bowls are on the third shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the color of the bowls on the third shelf from the top?,What color are the bowls on the third shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the design of the bowls on the third shelf from the top?,What design are the bowls on the third shelf from the top of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the material of the bowls on the third shelf from the top?,What material are the bowls on the third shelf from the top of the cabinet?
